Country,Internet Users %,GDP/Capita
Uganda,45.9,2400.0
Saint Lucia,52.4,14400.0
Niue,91.6,5800.0
Malawi,9.6,1200.0
Thailand,47.5,17900.0
Cook Islands,54.0,16700.0
Montenegro,69.9,17700.0
New Caledonia,74.0,31100.0
Mozambique,17.5,1200.0
Comoros,7.9,1600.0
